Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,rank_buff,huden2010,med_inc,imp_surf
G-CBP2,AP21,tawa,-122.42682678938668,47.1883010270148,0,0,0,0,1,0,43,4,0,15,0,0,0,0,0,8,0,0,0,30,0,0,0,10,1,10,516.7714187052705,39642,22.25386376645678
G-CLP3,OC20,tawa,-122.51054008250264,47.24624781414887,0,0,0,0,2,0,0,12,2,125,0,0,0,0,33,0,0,0,0,1,0,0,0,10,0.9727463312368972,8,412.353522489044,48932.17819706499,22.184941311193818
G-FP1,AP21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,5,0,55,0,0,244,0,0,0,0,6,21,0,0,0,2,0,0,0,10,0.9180672268907563,8.97689075630252,418.87423501525905,63154.804621848736,22.881020642201836
G-IP,AP21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,3,0,16,6,0,30,0,0,0,0,22,17,0,0,0,0,0,0,0,10,0.783157894736842,10,301.19218221361325,63699.44,22.918075050128902
G-JP,AP21,tawa,-122.48980021466647,47.25733785038378,0,0,0,0,0,0,2,64,0,367,0,0,0,0,0,16,0,0,0,1,0,0,0,10,0.9410526315789474,3.7936842105263158,843.3582343875032,99935.98315789473,22.872133027522935
G-KP2,JA21,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,2,0,236,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0.95625,5.158333333333333,546.1041409885687,77322.90833333334,22.960401721664276
G-SB,JU21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,64,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0.9432773109243697,6,237.50194768380672,88606,9.008890163464295
G-SERA,AP21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,0,25,0,16,0,0,0,0,94,1,0,0,0,0,0,0,0,10,0.9435146443514645,10,180.17169196085084,53605.63807531381,22.55775293780453
G-TNC2,AP21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,9,177,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0.9978813559322034,8,297.5917582951695,70967,21.75567039908125
G-VP,AP21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,16,1,1,249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.9958246346555324,4,540.2620530184552,71810,17.994262765347102
G-WLP2,AP21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,8,0,0,0,30,0,0,0,10,0.9705263157894737,10,511.11304239036843,44366,22.312607449856735
P-BLP,AP21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,5,1,0,14,4,67,0,0,0,0,0,1,0,0,0,9,0,0,0,10,0.9010526315789473,8,190.67572203852632,59750,19.862880091795756
P-CCP,AP21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,5,2,0,19,0,16,0,0,0,0,107,46,0,0,17,1,2,0,0,10,1,7,220.62691676635504,73125,17.386357122384638
P-CUP,AP21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,15,17,7,15,0,0,0,0,0,0,0,61,0,0,0,14,0,0,0,10,1,2,763.9101210769622,129773,17.743150684931507
P-DPV,AP21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,5,35,0,2,2,7,0,0,0,0,0,7,0,0,0,0,0,6,0,10,0.9225941422594143,6,0,88606,1.1476817401259303
P-GP,OC20,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,1,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9979166666666667,5,619.9234059690375,69066,16.152323580034423
P-MKP3,JA21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,10,0.7584033613445378,10,429.0914242201643,62994.36974789916,22.602853067047075
P-OB,JU21,tawa,-122.5304601657384,47.31318888282613,0,0,0,0,3,3,0,2,1,18,0,0,0,0,0,2,0,0,0,0,0,2,0,10,0.7229166666666667,6,0,88606,2.2156581588758244
P-OLT,JU21,tawa,-122.2727399501913,46.91265010614948,2,2,0,0,1,34,0,0,9,0,2,0,0,0,0,7,0,0,0,12,0,68,0,10,0.9451476793248945,2,2.9819160588531646,70190,1.8497424155695479
P-OV2,JA21,tawa,-122.34327690455926,46.87009737411258,0,0,0,0,6,0,0,0,0,0,35,0,0,0,3,3,0,0,0,0,0,0,0,10,1,2,11.554465603122013,70190,2.3218785796105386
P-PCNA2,JA21,tawa,-122.48432986987385,47.27683082960451,0,0,0,0,1,15,0,11,0,0,0,0,0,0,1,28,0,0,0,3,0,0,0,10,1,2.3389830508474576,533.6810909686102,126579.10169491525,18.71195652173913
P-RP,OC20,tawa,-122.51225005999778,47.29719932320845,0,0,0,0,14,66,10,27,0,176,0,0,0,0,27,73,0,0,0,0,0,0,0,10,0.9516806722689075,6,782.0506131775735,88606,20.868941783768282
P-RWSR,OC20,tawa,-122.26845992226572,46.92559930766051,1,0,0,0,29,19,0,0,0,0,19,0,0,0,0,5,0,0,1,0,0,0,0,10,1,2,25.186653099206527,70190,2.685853379152348
P-SCP2,OC20,tawa,-122.3973902834904,47.22107090831066,0,0,0,0,0,12,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,1,9.727463312368974,393.7502086406063,39644.85324947589,19.90515759312321
P-STP,JA21,tawa,-122.49173974370127,47.28530888330367,0,0,0,0,2,20,0,1,0,0,0,0,0,0,4,24,0,0,0,2,0,0,0,10,0.9978902953586498,4,252.72412914547257,110929,14.34889716413635
P-TE2,AP21,tawa,-122.27951048782658,46.92219579840345,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,2,11.371189373903368,70190,3.7815366972477062
P-UWT,AP21,tawa,-122.440170358001,47.2428796550409,0,0,0,0,0,0,5,1,0,57,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0.6268343815513627,10,647.1800203923422,59584.70859538784,22.253589890867318
P-WBC,AP21,tawa,-122.30026973533973,47.16920045659492,0,0,0,0,15,0,0,1,0,8,0,0,0,0,2,24,0,0,2,2,0,0,0,10,1,7.65553235908142,277.78680372086745,83186.06471816284,22.530910131654263
P-WWP,JA21,tawa,-122.27665975935894,47.17281070545192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,274.490995899,63385,17.496132913205386
