locationID,avg_richness,city,Site,utmEast,utmNorth,utmZone,long,lat
2252,2.6,paca,H01-CCH1,389887,3781720,11,-118.19473427204494,34.17062801301575
2305,6.333333333333333,tawa,G-FP1,539350,5232700,10,-122.48001311823172,47.24660376310076
2309,4.666666666666667,tawa,P-OB,535487.875,5240075.5,10,-122.5304601657384,47.31318888282613
2310,7,tawa,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
2311,6,tawa,P-STP,538434.5625,5236995.5,10,-122.49173974370127,47.28530888330367
2312,3,paca,H01-GSC1,388140,3783430,11,-118.21390645741332,34.18586047209684
2315,4.75,paca,H01-HFR1,382075,3787650,11,-118.28028507983583,34.22324078580839
2316,5.4,tawa,P-DPV,534489.5625,5240438.5,10,-122.5436402745423,47.3165085016772
2320,5.333333333333333,tawa,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
2321,5.75,tawa,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
2322,1.6666666666666667,tawa,P-GP,541039.4375,5235299.5,10,-122.45745032482698,47.269890460874926
2324,4,tawa,P-MCP,542065.02,5233490.25,10,-122.44406301593588,47.253545969918875
2331,4,tawa,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
2334,7.6,tawa,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
2336,5.25,tawa,P-WBC,553029.125,5224204.5,10,-122.30026973533973,47.16920045659492
2337,1,tawa,P-WWP,554814.6875,5224622,10,-122.27665975935894,47.17281070545192
2338,6.666666666666667,tawa,P-BLP,554358.4375,5223381,10,-122.28283031300816,47.16168229763593
2341,6,tawa,P-RWSR,555692.8125,5197156,10,-122.26845992226572,46.92559930766051
2342,6.4,tawa,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
2346,5.25,tawa,G-SB,535535,5238409,10,-122.52996962188313,47.298191196125245
2347,4.5,tawa,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
2349,6,tawa,G-JP,538601.5625,5233888,10,-122.48980021466647,47.25733785038378
2354,5.75,tawa,G-TNC2,538575.5,5231997,10,-122.49030793253216,47.240324138072616
2362,4.25,tawa,G-WLP2,540043.0625,5225041.5,10,-122.47154011345285,47.177650308061786
2364,5.5,tawa,G-CLP3,537040.125,5232645.5,10,-122.51054008250264,47.24624781414887
3025,5.75,paca,H01-WWD1,384098,3786890,11,-118.2582246305454,34.21661561280118
3026,3.75,paca,H01-TMC1,391122,3782270,11,-118.18140606023437,34.17571692711669
3305,2.25,paca,H01-OCC1,386215,3785190,11,-118.23502371495428,34.201521140726356
3329,1,paca,H01-RHR1,393272,3786940,11,-118.15865713228422,34.21804765416623
3376,1.3333333333333333,oaca,HBT,578585.875,4176056.25,10,-122.1082052795166,37.72840774799266
3377,1.75,oaca,BT,579523.4375,4177573.25,10,-122.09740103019818,37.74199827050061
3378,2,oaca,GT,577615.25,4179526.25,10,-122.11884806430687,37.75976297425415
3379,3.4,oaca,HT,577039.375,4181267.5,10,-122.12520031814924,37.775504171738376
3380,4.5,oaca,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
3381,1.3333333333333333,oaca,DK,569689.6875,4177592,10,-122.20900282254252,37.74296907041338
3382,1.6666666666666667,oaca,EN,569795.9375,4176208,10,-122.20792986879542,37.73048775392695
3383,3.6,oaca,AB,567123,4183440,10,-122.23759206133576,37.79586579832616
3384,2.8,oaca,CB,572155,4184290,10,-122.18035727643792,37.803142529093726
3385,2.2,oaca,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
3386,2.2,oaca,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
3387,4,oaca,CR,575257.1875,4178946.75,10,-122.14567601162236,37.75473747299067
3388,3.8,oaca,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
3389,4.2,oaca,WP,575743.9375,4178844.25,10,-122.14016165799896,37.753773534843326
3390,4.333333333333333,oaca,DY,571940,4182400,10,-122.18298694516211,37.78612625493866
3391,3.5,oaca,MA,570794.25,4175410.25,10,-122.19667933091584,37.72322142384811
3393,4,oaca,PER,570553.75,4174456.25,10,-122.19950062871013,37.714642110545945
3397,3.2,paca,H01-AST1,392372,3778100,11,-118.16732756616892,34.13824664174728
3400,4,paca,H01-SPS1,392353,3776560,11,-118.16734266948976,34.124358734572354
3401,1,paca,H01-FIR2,387970,3781990,11,-118.21556469284234,34.17285827499284
3402,1.5,paca,H01-BGC1,392041,3781990,11,-118.17140118725754,34.173287817505205
3403,2.8,paca,H01-LTC1,379869,3788340,11,-118.30432562887724,34.22920965022224
3404,2,paca,H01-WAV1,379266,3789880,11,-118.31108646234128,34.24302479928483
3405,2.6,paca,H01-HNP1,391801,3784210,11,-118.17428217013232,34.19328012284418
3406,1.3333333333333333,lbca,ED01,408578,3740950,11,-117.98770203485851,33.804787626724554
3407,4,lbca,ED02,409325,3741248,11,-117.97966328447696,33.807539306310055
3416,3,lbca,ED03,410270,3741160,11,-117.9694457294946,33.80682639003364
3418,2.5,lbca,ED05,413984,3741180,11,-117.92932622641054,33.807315562752066
3419,3,lbca,ED06,419944,3741770,11,-117.86499394691326,33.813104579469865
3420,1,lbca,ED07,421119,3741770,11,-117.8522994739004,33.813192955781574
3421,4.5,lbca,ED08,422115,3741770,11,-117.84153883925752,33.81326684586201
3441,1.5,paca,H01-SAB1,392649,3777118,11,-118.16420235398144,34.12942061383115
3442,4.2,paca,H01-BEA2,385867,3783740,11,-118.23860893352784,34.18840910560693
3444,1,lbca,CalT01,415198,3742101,11,-117.91630006668773,33.815719290585086
3445,3,lbca,CalT02,418447,3740914,11,-117.88108802642428,33.8052705724534
3446,4,lbca,OAK,425950,3741450,11,-117.80007884799603,33.81065672706404
3447,2.25,lbca,ELMOD,426611,3740120,11,-117.79282699635732,33.79870845016335
3448,3.6666666666666665,lbca,PWETZ01,427476,3739520,11,-117.783433805852,33.793357122951015
3449,4.666666666666667,lbca,PWETZ02,428072,3738980,11,-117.77695209834594,33.788527901882254
3450,2.3333333333333335,lbca,PCNYN01,429346,3738520,11,-117.7631548753798,33.78446530748109
3451,2.25,lbca,PCNYN02,429576,3737230,11,-117.76056793467292,33.77284684912799
3452,1.3333333333333333,lbca,IRC01,431386,3736978,11,-117.74100210763476,33.77069310192292
3454,7.666666666666667,lbca,IRC02,432833,3736665,11,-117.7253524420718,33.76796313242066
3455,3,lbca,IRC03,434888,3735863,11,-117.70310242313036,33.76085865201455
3456,2,lbca,IRC04,436741,3734905,11,-117.68302581073524,33.75233115011393
3457,2,lbca,IRC05,438127,3734171,11,-117.66801033275596,33.745793332380615
3458,1.5,lbca,IRC06,439517,3732930,11,-117.65291929031022,33.73468139211798
3460,3,lbca,IRC07,440010,3731237,11,-117.6474829372618,33.719440685685356
3464,4.5,tawa,P-MKP3,543620.8125,5231466,10,-122.4237000776792,47.2352303289375
3467,5,tawa,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
3468,3.5,tawa,P-TE2,554855,5196770,10,-122.27951048782658,46.92219579840345
3469,4.666666666666667,tawa,P-OV2,550048.5625,5190938,10,-122.34327690455926,46.87009737411258
3471,5.333333333333333,tawa,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
3472,5.333333333333333,tawa,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
3474,6,tawa,G-CBP2,543422.4375,5226249,10,-122.42682678938668,47.1883010270148
3503,2.4,paca,H01-GSC2,388411,3783060,11,-118.2109184623974,34.18255337689607
3718,1.5,paca,H01-ROS2,392355.5313,3779903.75,11,-118.1677299455325,34.154509044443905
3769,2,paca,H01-SPS1,392356.0313,3776562.25,11,-118.16731008239871,34.124379334949886
3806,4.25,paca,H01-OXY1,388478,3776890,11,-118.20939813219788,34.126927657671985
4260,6.333333333333333,paca,H01-ARB1,393031.375,3785575.5,11,-118.16110014999256,34.205719593315
4261,3,paca,H01-CFR1,378077.4063,3793413.5,11,-118.32449004068506,34.27474457841734
4262,4.666666666666667,paca,H01-DEB1,389346.0625,3773540.75,11,-118.19955983106364,34.09682057580613
4263,2.5,paca,H01-GAT4,376995.6875,3793214.25,11,-118.33620992419216,34.27282057581057
4264,3.3333333333333335,paca,H01-TCR1,377733.7188,3790925.25,11,-118.32787008751684,34.252269856752044
4265,2.6666666666666665,paca,H01-WTP2,378748.5313,3787425,11,-118.31635996804434,34.2208298358195
4333,3.3333333333333335,tawa,G-KP2,537217,5235182,10,-122.50799150845162,47.269061297727504
4386,1,paca,H01-HNP1,391839,3784180,11,-118.1738660841858,34.19301356705029
4408,2.6666666666666665,lbca,CalT03,416357,3740650,11,-117.90364066179934,33.80272646064966
4420,2,lbca,LCW01,397764,3734920,11,-118.10381825715588,33.74942099939894
4421,2,lbca,LCW02,398784,3734990,11,-118.09281532392112,33.750150201880516
4422,3.5,lbca,LWNT02,398705,3744550,11,-118.09476503983372,33.836350651901505
4423,3,lbca,LWNT01,398092,3746360,11,-118.10159854728452,33.852613287792714
4453,5.333333333333333,paca,H01-ELY1,387328.125,3774149,11,-118.22151005153287,34.10208946343015
4532,1.5,lbca,CHG,438895.9375,3735201.25,11,-117.65978016281878,33.75512947132049
4533,1,lbca,GKSK,434289.9063,3746998.75,11,-117.71039003087368,33.861249489198265
4536,1,lbca,UPWE,433347.5938,3743741,11,-117.72033003217555,33.83181056614277
4560,2.6666666666666665,paca,H01-CFR2,378007,3793260,11,-118.32523299102064,34.273352339643125
