GEOID,Rank
53033000100,5.5
53033000200,7.5
53033000300,6
53033000401,5.5
53033000402,6.5
53033000500,4
53033000600,7.5
53033000700,7.5
53033000800,5.5
53033000900,5.5
53033001000,7.5
53033001100,8
53033001200,7
53033001300,7
53033001400,7.5
53033001500,6.5
53033001600,7
53033001701,7.5
53033001702,7.5
53033001800,7.5
53033001900,7.5
53033002000,7
53033002100,7.5
53033002200,6
53033002400,6
53033002500,7.5
53033002600,8.5
53033002700,8.5
53033002800,8.5
53033002900,8.5
53033003000,7.5
53033003100,7.5
53033003200,7.5
53033003300,8
53033003400,8
53033003500,8.5
53033003600,8.5
53033003800,7
53033003900,6
53033004000,6
53033004100,7
53033004200,7
53033004301,8.5
53033004302,7.5
53033004400,9
53033004500,9
53033004600,9
53033004700,8
53033004800,9
53033004900,9
53033005000,9
53033005100,9
53033005200,9
53033005301,9
53033005302,9
53033005400,9
53033005600,9
53033005700,8
53033005801,8
53033005802,9
53033005900,8.5
53033006000,9.5
53033006100,9.5
53033006200,9.5
53033006300,7.5
53033006400,9.5
53033006500,9.5
53033006600,9.5
53033006700,9.5
53033006800,9.5
53033006900,9.5
53033007000,9.5
53033007100,10
53033007200,10
53033007300,10
53033007401,9.5
53033007402,10
53033007500,9.5
53033007600,9.5
53033007700,9
53033007800,7
53033007900,9
53033008001,10
53033008002,10
53033008100,10
53033008200,10
53033008300,10
53033008400,10
53033008500,10
53033008600,10
53033008700,10
53033008800,9
53033008900,9.5
53033009000,10
53033009100,10
53033009200,10
53033009300,10
53033009400,10
53033009500,9.5
53033009600,9.5
53033009701,8.5
53033009702,9.5
53033009800,9.5
53033009900,10
53033010001,10
53033010002,10
53033010100,7.5
53033010200,8
53033010300,8
53033010401,10
53033010402,10
53033010500,9.5
53033010600,9.5
53033010701,9.5
53033010702,9.5
53033010800,10
53033010900,10
53033011001,9
53033011002,10
53033011101,9
53033011102,8.5
53033011200,10
53033011300,10
53033011401,9.5
53033011402,9
53033011500,9.5
53033011600,8
53033011700,10
53033011800,9.5
53033011900,9.5
53033012000,7
53033012100,6.5
53033020100,4
53033020200,5.5
53033020300,5.5
53033020401,5.5
53033020402,7
53033020500,6.5
53033020600,6
53033020700,5.5
53033020800,5.5
53033020900,6
53033021000,6.5
53033021100,7.5
53033021300,7
53033021400,7.5
53033021500,5.5
53033021600,5.5
53033021700,7
53033021802,8
53033021803,6.5
53033021804,7.5
53033021903,6.5
53033021904,5.5
53033021905,7
53033021906,6.5
53033022001,7.5
53033022003,6
53033022005,6
53033022006,7.5
53033022101,6
53033022102,7.5
53033022201,5
53033022202,6
53033022203,6
53033022300,5.5
53033022400,8
53033022500,8
53033022603,7
53033022604,8
53033022605,7.5
53033022606,7.5
53033022701,7
53033022702,7.5
53033022703,7
53033022801,7
53033022802,7
53033022803,6.5
53033022901,6.5
53033022902,6
53033023000,5.5
53033023100,5
53033023201,6
53033023202,5
53033023300,6.5
53033023401,7
53033023403,5
53033023404,4
53033023500,7.5
53033023601,7.5
53033023603,6
53033023604,7
53033023700,7.5
53033023801,8.5
53033023803,6.5
53033023804,7
53033023900,8.5
53033024000,8.5
53033024100,7.5
53033024200,7
53033024300,8
53033024400,7
53033024500,7.5
53033024601,7.5
53033024602,7.5
53033024701,8
53033024702,7.5
53033024800,8
53033024901,6
53033024902,5.5
53033024903,4.5
53033025001,7.5
53033025003,4
53033025005,5.5
53033025006,4.5
53033025101,5.5
53033025102,6
53033025200,8.5
53033025301,8.5
53033025302,9.5
53033025400,9
53033025500,7
53033025601,9
53033025602,7
53033025701,9
53033025702,8.5
53033025803,8.5
53033025804,9
53033025805,9.5
53033025806,9.5
53033026001,9.5
53033026002,9.5
53033026100,10
53033026200,10
53033026300,10
53033026400,10
53033026500,9
53033026600,7
53033026700,7.5
53033026801,9
53033026802,9
53033027000,9
53033027100,10
53033027200,10
53033027300,10
53033027400,9
53033027500,8
53033027600,7.5
53033027701,3
53033027702,3.5
53033027800,6.5
53033027900,7
53033028000,7.5
53033028100,10
53033028200,10
53033028300,10
53033028402,9.5
53033028403,9.5
53033028500,7
53033028600,8
53033028700,7.5
53033028801,9
53033028802,9
53033028901,8.5
53033028902,9
53033029001,7.5
53033029003,8.5
53033029004,8.5
53033029101,9
53033029102,9
53033029203,9
53033029204,9.5
53033029205,9.5
53033029206,10
53033029303,9
53033029304,7.5
53033029305,9
53033029306,8.5
53033029307,5
53033029403,9
53033029405,6.5
53033029406,6
53033029407,8
53033029408,7
53033029502,5
53033029503,7.5
53033029504,6
53033029601,5
53033029602,6
53033029700,9.5
53033029801,9
53033029802,9.5
53033029901,9
53033029902,8.5
53033030003,8
53033030004,6.5
53033030005,7
53033030006,7.5
53033030100,7
53033030201,6.5
53033030202,7
53033030304,8.5
53033030305,4
53033030306,6.5
53033030308,7
53033030309,6.5
53033030310,8
53033030311,6
53033030312,6.5
53033030313,7
53033030314,7
53033030401,9.5
53033030403,7.5
53033030404,9
53033030501,8.5
53033030503,7.5
53033030504,8
53033030600,9
53033030700,8.5
53033030801,9
53033030802,7
53033030901,8.5
53033030902,8.5
53033031000,6.5
53033031100,7.5
53033031202,3.5
53033031204,5
53033031205,6
53033031206,6
53033031301,3.5
53033031302,3
53033031400,3.5
53033031501,3
53033031502,3
53033031601,4
53033031603,4
53033031604,3
53033031605,3.5
53033031703,4.5
53033031704,5
53033031705,4.5
53033031706,4.5
53033031800,5.5
53033031903,6
53033031904,3.5
53033031906,4.5
53033031907,5.5
53033031908,5.5
53033031909,4.5
53033032002,4.5
53033032003,5.5
53033032005,4.5
53033032006,3.5
53033032007,4.5
53033032008,3.5
53033032010,3.5
53033032011,3.5
53033032102,4.5
53033032103,4.5
53033032104,4.5
53033032203,3
53033032207,3
53033032208,4.5
53033032210,4.5
53033032211,2.5
53033032212,3.5
53033032213,2
53033032214,2.5
53033032215,2
53033032307,2.5
53033032309,7.5
53033032311,1.5
53033032313,6.5
53033032315,1.5
53033032316,4.5
53033032317,2.5
53033032318,2.5
53033032319,7
53033032320,6
53033032321,6
53033032322,2.5
53033032323,5.5
53033032324,6
53033032325,5.5
53033032326,3.5
53033032327,3
53033032328,3
53033032329,2.5
53033032401,1.5
53033032402,1.5
53033032500,2
53033032601,2.5
53033032602,3
53033032702,2.5
53033032703,3
53033032704,2
53033032800,3
53033990100,3
53053060200,10
53053060300,5
53053060400,5.5
53053060500,6
53053060600,9
53053060700,7.5
53053060800,7.5
53053060903,4
53053060904,5
53053060905,5.5
53053060906,6.5
53053061001,5.5
53053061002,6.5
53053061100,7.5
53053061200,8.5
53053061300,10
53053061400,10
53053061500,9.5
53053061601,9.5
53053061602,9.5
53053061700,10
53053061800,9.5
53053061900,10
53053062000,10
53053062300,10
53053062400,9
53053062500,9.5
53053062600,9
53053062801,8
53053062802,8.5
53053062900,9
53053063000,8.5
53053063100,9
53053063200,8.5
53053063300,8
53053063400,8
53053063501,8.5
53053063502,7.5
53053070100,2
53053070203,3.5
53053070204,2.5
53053070205,3
53053070206,2.5
53053070207,3.5
53053070307,2.5
53053070308,4.5
53053070309,4
53053070310,3.5
53053070311,3
53053070312,4.5
53053070313,6
53053070314,6
53053070315,5.5
53053070316,6.5
53053070401,6
53053070403,3.5
53053070404,3.5
53053070703,8.5
53053071100,6.5
53053071205,7
53053071206,6
53053071207,7
53053071208,6
53053071209,5.5
53053071210,6.5
53053071304,6
53053071305,6.5
53053071306,5.5
53053071307,6
53053071309,5.5
53053071310,5
53053071403,4
53053071406,4.5
53053071407,4.5
53053071408,4
53053071409,4.5
53053071410,3.5
53053071411,3.5
53053071503,7
53053071504,8
53053071505,5.5
53053071506,4.5
53053071601,7
53053071602,6.5
53053071703,7
53053071704,7.5
53053071705,7.5
53053071706,7
53053071707,8
53053071803,7.5
53053071805,8
53053071806,7
53053071807,8
53053071808,7.5
53053071901,8.5
53053071902,7.5
53053072000,6.5
53053072105,6
53053072106,6.5
53053072107,6.5
53053072108,7
53053072109,4.5
53053072111,4.5
53053072112,5
53053072305,8
53053072307,5.5
53053072308,6
53053072309,5.5
53053072310,5.5
53053072311,5.5
53053072312,6.5
53053072313,7
53053072405,1.5
53053072406,3
53053072407,3.5
53053072408,4
53053072409,2.5
53053072410,3.5
53053072503,2.5
53053072504,4
53053072505,3
53053072506,3.5
53053072507,4
53053072601,1.5
53053072602,1.5
53053072603,2
53053072800,4
53053072901,6.5
53053072903,5
53053072905,5
53053072906,5
53053072907,5
53053073001,1.5
53053073005,1.5
53053073006,2
53053073108,5.5
53053073110,4.5
53053073111,5.5
53053073113,4
53053073114,3
53053073115,3
53053073116,3
53053073117,1.5
53053073118,2.5
53053073119,1.5
53053073120,5
53053073121,5
53053073122,5
53053073123,5
53053073124,4
53053073125,5
53053073126,4.5
53053073200,1
53053073301,8.5
53053073302,8
53053073404,9
53053073405,8
53053073406,8
53053073407,8
53053073408,7.5
53053073500,8.5
53053940001,6.5
53053940002,9.5
53053940003,9
53053940004,9.5
53053940005,9
53053940006,9
53053940007,10
53053940008,7.5
53053940009,8.5
53053940010,8.5
53053940011,7.5
06037204920,9.48
06037542402,9.33
06037543202,8.95
06037203300,9.09
06037291220,10
06037433501,8.88
06037243100,7.8
06037227010,8.57
06037226001,9.25
06037433101,9.12
06037239202,8.21
06037206050,9.32
06037205120,9.1
06037226002,9.33
06037536104,9.66
06037104703,8.64
06037240500,7.74
06037535400,8
06037291210,9.55
06037570403,8.24
06037532302,9.46
06037542200,8.4
06037534202,8.18
06037531302,8.97
06037242600,7.49
06037242700,7.74
06037206032,9.1
06037542401,7.97
06037203500,9.01
06037239201,7.96
06037219902,8.66
06037534201,9.55
06037540700,7.87
06037540901,7.97
06037533806,8.84
06037534102,8.44
06037127400,8.36
06037570301,8.03
06037534301,8.53
06037294701,8.44
06037239330,7.94
06037570402,8.53
06037239702,7.37
06037540400,8.13
06037296210,7.77
06037534302,8.23
06037120020,7.52
06037434004,8.81
06037205110,8.25
06037122410,7.54
06037532304,9.44
06037208000,9.24
06037575401,7.48
06037572301,8.59
06037239310,7.33
06037228900,7.48
06037219901,8.01
06037570502,8.53
06037570203,8.23
06037533002,7.77
06037228100,8.02
06037532603,7.68
06037117408,7.45
06037204700,8.62
06037302401,8.51
06037602900,8.92
06037433504,8.15
06037121222,8.45
06037185320,8.56
06037540000,8.25
06037120010,7.75
06037404703,9.3
06037240200,7.31
06037241120,7.19
06037242100,7.53
06037570202,8.96
06037121900,8.06
06037241002,7.82
06037204600,8.87
06037204820,8.77
06037601502,8.13
06037531301,8.28
06037122420,7.67
06037242200,7.01
06037239501,7.33
06037533001,7.26
06037292000,9.17
06037575801,7.3
06037433801,8.72
06037199000,9.39
06037532900,7.08
06037433102,8.46
06037534203,8.41
06037302302,8.4
06037432700,9.05
06037291110,7.88
06037239701,6.82
06037536103,8.61
06037240010,7.09
06037402402,8.77
06037536000,8.76
06037206200,8.42
06037532500,8.6
06037542502,7.32
06037301601,9.19
06037541603,7.87
06037203100,8.44
06037602801,6.96
06037204810,8.01
06037541604,7.64
06037543000,8.13
06037228800,7.67
06037542106,7.4
06037241202,7.22
06037575802,6.7
06037532800,7.52
06037127210,7.49
06037541605,7.36
06037123303,7.69
06037229100,7.31
06095250701,7.41
06037540203,7.31
06001407300,7.61
06037601401,7.89
06037127220,7.05
06037204910,8.32
06037530500,7.81
06037229420,7.44
06037241001,7.1
06037402801,7.86
06037294830,7.37
06037575402,6.59
06037208302,8.59
06037542601,7.43
06037553802,8.37
06037227020,6.96
06037433200,9.02
06037237202,7.04
06037128303,7.03
06037601600,8.25
06037533703,8.24
06037530700,8.99
06037432802,8.58
06037128302,7.73
06037240600,6.65
06037186401,8.59
06037127711,8.16
06037535101,6.97
06037532700,7.86
06037433700,9.67
06037243000,7.04
06037534405,7.61
06037199700,9.21
06059087405,8.02
06037232120,6.84
06037536102,9.57
06037570501,7.68
06037535300,7.69
06037540502,7.68
06037206010,9.16
06037291130,8.48
06037199900,8.86
06037541700,7.82
06037534101,9.03
06037104401,7.97
06037242300,6.56
06001409000,7.46
06037109500,7.9
06037127104,7.05
06037232800,7.8
06037434003,7.85
06037535001,6.84
06037572900,7.81
06037530601,8.13
06037533603,7.54
06037239602,6.91
06037533902,7.77
06037535603,7.63
06059086702,7.89
06037404802,7.89
06037224010,7.54
06037434001,7.85
06037573201,7.25
06037553701,8.53
06037121020,7.58
06037294120,7.51
06037241400,6.93
06037408800,7.33
06037232700,7.21
06037224200,7.12
06037502301,9.31
06037408301,8.86
06037187102,9.25
06037533403,7.98
06037543100,8.91
06037239601,7.1
06037297110,7.26
06037228720,6.81
06037226420,7.02
06037540600,7.57
06037532001,7.9
06037199201,7.75
06037221401,7.15
06037535604,7.57
06037195802,8.29
06037122122,8.44
06037535102,6.76
06037204420,7.08
06037535200,6.5
06037218400,8.36
06037433901,7.66
06037242000,6.53
06037294900,7.47
06037535002,6.81
06037432801,8.9
06037532303,9.08
06037240900,6.53
06059086502,8.35
06037570204,7.57
06037541606,7.16
06001408800,6.78
06037531101,7.63
06037220100,7.72
06037531702,6.99
06037237102,7.24
06037231100,7.51
06037302505,7.91
06037535606,7.72
06013365002,7.13
06037533901,8.37
06059110500,8.63
06037207103,8.2
06037224600,7.11
06037532002,7.25
06037127102,6.78
06037531504,6.85
06037226410,6.67
06037570404,7.51
06037553801,7.46
06037534502,7.34
06037407002,8.94
06037531000,8.31
06037540501,8.52
06037542602,7.32
06037240020,6.32
06037229300,6.45
06037404402,8.26
06037572800,7.22
06037229410,7.4
06037553702,8
06037231720,6.86
06037533602,7.46
06037228210,6.39
06037239802,7.03
06037541100,8.07
06037207102,8.09
06037228410,6.89
06037120107,6.25
06037226700,6.75
06037120300,7.44
06037206300,7.71
06037123304,8.27
06037191500,7.3
06037402702,6.97
06037575300,6.36
06037402600,7.48
06037186403,8.37
06037408501,8.68
06037122000,8.45
06037534406,7.59
06037209102,6.96
06037121802,7.24
06037240300,6.79
06037572500,6.7
06037543201,7.12
06037191810,7.65
06037119001,8.19
06037124204,6.99
06037541200,8.2
06037600502,8.14
06037541500,7.21
06037402804,6.85
06037535901,7.24
06037228420,6.19
06037104822,8.23
06037104403,7.31
06037433401,7.76
06037294820,6.61
06037553601,8.5
06037240402,6.95
06037122200,8.71
06037104701,6.81
06037503000,8.26
06037123020,7.33
06037603302,7.74
06037540902,7.35
06037104810,8.21
06037124103,6.76
06037191620,6.7
06037502200,7.78
06037402101,7.2
06037127520,7.72
06037241201,6.43
06037239320,6.58
06037104404,7.09
06037296500,7.46
06037571701,7.36
06059011601,8.06
06037123206,7.7
06037573202,6.8
06037530801,7.52
06037530101,7.18
06037208402,8.14
06037291120,7.74
06037190801,7.36
06037602002,8.28
06037232500,7.01
06037601501,7.46
06037203600,7.48
06037132102,7.55
06037602509,8.52
06037120030,7.48
06037531602,6.9
06037301702,9.16
06037123301,7.57
06037122121,7.48
06037237101,6.26
06037532604,6.88
06037219300,6.8
06037228310,6.69
06037240700,6.43
06037238320,6.9
06037533300,7.3
06037534900,7.14
06037199800,8.32
06037104320,7.76
06037131020,7
06037433503,8.05
06037536200,8.36
06037531102,7.75
06037219800,7.8
06037218500,7.62
06037402304,6.78
06037209300,7.31
06037601302,7.31
06037603001,7.47
06037533103,7.15
06037240800,6.56
06037402303,7.44
06001409100,6.51
06037543801,8.53
06095250900,6.14
06037192620,6.92
06037231710,6.01
06037533401,7.81
06037433302,8.46
06037228500,6.25
06037238310,6.38
06001406100,7.26
06037104310,8.25
06037572600,7.83
06037570100,7.36
06037120103,5.86
06059087403,7.12
06037204300,6.87
06037575803,6.39
06037123103,7.37
06037530602,8.1
06037106604,7.77
06037541400,6.62
06037601700,7.01
06037117520,6.34
06037544001,8
06037123205,7.39
06013312000,6.44
06037185310,7.42
06037502902,8.32
06037195710,7.94
06037602103,6.91
06037209103,7.33
06037500402,7.05
06037185203,7.23
06037535501,7.19
06037543905,6.84
06037407200,7.65
06037543305,9.01
06037531503,7.62
06037301602,9.24
06037543400,9.46
06037186301,7.73
06037207302,8.61
06037218900,7.19
06037234901,6.2
06037552400,7.9
06013376000,6.6
06037404701,8.44
06037540300,8.41
06037294421,7.52
06001402200,7.15
06037533702,6.91
06037127920,6.65
06037533805,7.18
06037204410,7.49
06037209104,6.76
06037532606,6.23
06037240401,6.47
06037231600,6.48
06037535607,7.39
06037239502,6.72
06037541300,6.59
06013382000,6.91
06037433402,7.12
06037533601,7.32
06037119002,8.22
06037218702,6.71
06037224020,7.83
06037600303,5.73
06013379000,6.59
06037533105,5.94
06013305000,6.29
06037542104,6.91
06085512603,6.74
06037229200,6.38
06037502302,8.29
06037237600,6.48
06037231900,7.29
06037120106,6.39
06037600100,5.85
06037228710,6.09
06037234902,6.21
06037134522,6.54
06059074406,7.67
06037209820,6.92
06037120104,6.32
06037209520,6.93
06037104500,6.94
06037502700,9.16
06037121010,7.63
06059001304,7.96
06059001404,7.8
06037228600,6.15
06037541002,9.1
06059110603,8.13
06037123203,7.58
06075023200,7.11
06037533501,7.07
06037208720,5.99
06037408202,9.49
06037533201,6.79
06037602104,7.22
06037433802,9.34
06037219700,7.35
06037542900,6.63
06037120108,6
06037542105,6.17
06037195720,7.45
06013377000,6.16
06037534001,7.58
06037543903,8.05
06037433307,7.72
06037407601,6.45
06059087803,7.92
06037601402,7.78
06037209402,6.41
06037405102,7.12
06037408401,9.21
06037127604,6.65
06037310501,8.56
06037404702,8.47
06037534804,6.81
06037296220,7.09
06037541001,8.23
06037573002,6.63
06037238200,6.61
06037199400,7.51
06059086802,7.71
06037432300,8.22
06037532605,6.48
06037190901,7.37
06037310703,9.02
06037550300,8.95
06037190802,7.53
06059074405,7.61
06037543501,8.29
06037212304,6.79
06001409500,5.81
06037576302,5.65
06037208802,5.98
06037232200,5.93
06037128210,6.35
06037241300,6.59
06037197700,8.45
06037402405,7.11
06037123010,7.46
06037127803,6.27
06001403000,6.3
06037228320,5.94
06037602004,5.96
06037540102,7.6
06037502500,8.34
06037115302,6.41
06037241110,6.29
06037291300,9.88
06037294302,7.04
06037201700,7.88
06037124201,7.08
06037302504,6.29
06037134520,6.64
06037602802,7.32
06037294620,7.76
06037121600,8.13
06001410500,6.52
06037402902,6.93
06037232110,5.69
06037134710,6.17
06037408140,7.16
06037294810,6.24
06037502601,8.38
06037293202,6.8
06037531502,6.92
06037120400,6.71
06037228220,5.95
06037541802,7.89
06037127910,6.32
06095251802,5.83
06037535702,6.6
06037117530,6.53
06037121101,7.36
06037600902,6.12
06037533402,6.73
06037218800,7.32
06037405201,7.36
06037530004,7.69
06037231800,7.04
06037132700,7.29
06037208903,6.21
06037573300,6.26
06037192610,7.15
06037127103,7.32
06037542000,6.08
06037553504,7.17
06037555211,7.1
06037433305,7.34
06001408900,6.01
06037603102,7.78
06037201402,7.78
06037209403,6.63
06037532200,8.32
06037602700,8.33
06037542501,5.86
06037602600,8
06037208610,7.29
06037209401,6.24
06037432500,7.81
06037127300,7.77
06037531902,6.49
06037207301,8.75
06037134521,6.41
06037120105,6.58
06037117407,6.57
06059099601,7.65
06037402403,9.17
06037302503,6.46
06037534404,7.2
06037128400,8.68
06059075002,6.75
06037208902,6.59
06037554302,6.83
06037294110,7.06
06037433306,7.78
06037236100,5.98
06037207400,9.72
06037433602,7.95
06037210010,7.37
06037133100,7.67
06037575901,6.58
06037191610,6.86
06037530902,6.74
06037117405,6.42
06037237201,5.81
06059086601,7.56
06037533701,8.04
06037191720,6.48
06037531901,6.64
06037530203,7.35
06059089003,6.73
06037320201,6.1
06037209810,6.51
06037237401,5.58
06037500600,7.56
06037402406,6.33
06037540800,7.7
06037124104,6.14
06037551102,8.48
06037127606,6.65
06037531202,6.41
06037502100,7.72
06037208502,6.91
06037541801,6.62
06037404801,7.4
06037433403,7.98
06037533803,6.7
06037900300,6.29
06037239801,6.21
06037540101,7.26
06037600304,5.52
06037238100,6.26
06037310601,8.54
06037302506,6.72
06037132001,7.01
06059074300,7.58
06037302301,8.49
06037530400,7.42
06037576200,6.29
06037572302,7.08
06037602105,6.5
06037543502,8.05
06037572400,7.36
06037407001,8.71
06037221601,6.44
06037231210,5.6
06037570303,6.31
06037554403,6.67
06037900602,5.77
06037532101,6.78
06037237710,6.12
06037123204,6.98
06037533202,6.58
06037572700,7.21
06037403000,6.83
06037542700,6.26
06037302202,6.81
06037190520,6.42
06037123410,7.45
06001402500,6.35
06037402501,6.77
06037531201,7.55
06059099802,6.88
06037232400,5.97
06037900701,5.71
06059088101,7.85
06037534803,6
06075017902,7.12
06013366002,6.44
06037104704,7.29
06037235202,6.01
06075023103,6.69
06037209200,7.65
06037104821,7.68
06037127603,6.12
06037221402,7.32
06037297120,6.6
06001409400,5.78
06037224320,6.98
06037236202,5.98
06037910101,5.63
06037535605,6.21
06037405001,7.14
06037603005,6.88
06037104610,6.7
06037237500,5.4
06037542800,6.45
06037502402,7.18
06001406000,6.72
06059011602,9.26
06037207502,8.5
06059087901,7.18
06037405202,7.27
06037552602,6.39
06037221500,6.22
06037131800,6.57
06037432601,7.25
06059074502,7.22
06037530802,8.16
06037134720,6.38
06037231220,5.63
06037115403,7.12
06037128601,6.48
06037296600,6.63
06037218210,6.87
06059086404,7.81
06037404301,6.48
06037106520,7.18
06037119340,5.73
06059074901,6.37
06059011720,8.54
06037402904,7.2
06059087102,7.41
06037134001,6.28
06037980010,8.85
06037553602,7.77
06037191120,7.32
06059086407,7.57
06013381000,6.16
06037482402,8.8
06037433601,8.07
06037139504,7.09
06037221110,6.12
06037127605,6.1
06037203200,6.79
06037237300,5.91
06037121221,7.93
06037530301,5.88
06037570304,6.75
06037530302,6.47
06037301701,8.77
06037237720,6.11
06037408139,7.24
06001432501,6.9
06037602003,6.14
06037533107,5.83
06037533203,6.26
06037132300,6.78
06037402102,7.43
06037554105,5.91
06013358000,6.94
06037602508,6.89
06037191410,6.5
